,Date,Device_ID,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Fail
0,2020/07/06,Radar2jn84,86078336,0,0,0,10,239535,0,0,6,0
1,2020/07/06,Radar2vr29,145302272,0,0,0,8,239408,0,0,0,0
2,2020/07/06,Radar2oS28,99326576,0,0,0,9,196990,0,0,0,0
3,2020/07/06,Radar2Td73,201731304,0,0,0,16,351621,0,0,0,0
4,2020/07/06,Radar2ou55,234656712,0,0,0,10,239434,0,0,0,0
5,2020/07/06,Radar2HI33,30440408,0,0,0,11,239885,0,0,6,0
6,2020/07/06,Radar2bp15,59402040,0,0,0,8,251925,0,0,1,0
7,2020/07/06,Radar2Eb55,241363752,0,0,0,19,355120,0,0,0,0
8,2020/07/06,Radar2PC25,236514256,0,0,0,9,241392,0,0,0,0
9,2020/07/06,Radar2Pc23,237927312,0,0,0,8,238690,0,0,0,0
10,2020/07/06,Radar2gI84,67966424,0,0,0,16,356855,0,0,0,0
11,2020/07/06,Radar2Vn75,183211584,0,0,0,5,214447,0,0,0,0
12,2020/07/06,Radar2Sv75,199981704,0,0,0,5,236539,0,0,0,0
13,2020/07/06,Radar2Bq93,207281736,0,0,0,6,240850,0,0,0,0
14,2020/07/06,Radar2ON97,56518040,0,0,0,6,219341,0,0,0,0
15,2020/07/06,Radar2xo93,25033440,0,0,0,13,269238,0,0,0,0
16,2020/07/06,Radar2ze42,76989352,0,0,0,7,252931,0,0,0,0
17,2020/07/06,Radar2so77,212398680,0,0,0,9,240703,0,0,0,0
18,2020/07/06,Radar2lT89,70921760,0,0,0,21,354721,0,0,0,0
19,2020/07/06,Radar2Sn54,134297368,0,0,0,7,213801,0,0,0,0
20,2020/07/06,Radar2pZ57,127533928,0,0,0,8,233940,0,0,0,0
21,2020/07/06,Radar2bt71,181044728,0,0,0,11,239793,0,0,0,0
22,2020/07/06,Radar2NX97,66430648,0,0,0,19,349338,0,0,0,0
23,2020/07/06,Radar2ui92,96467632,0,0,0,16,352072,0,0,0,0
24,2020/07/06,Radar2nS52,60660952,0,0,0,7,226147,0,0,0,0
25,2020/07/06,Radar2kA28,188336520,0,0,0,11,213363,0,0,0,0
26,2020/07/06,Radar2gU14,133085424,0,0,0,10,214964,0,0,0,0
27,2020/07/06,Radar2Fy78,137571848,0,0,0,16,341347,0,0,0,0
28,2020/07/06,Radar2Qq17,124707664,0,0,0,9,214300,0,0,0,0
29,2020/07/06,Radar2fs98,183223272,0,0,0,11,215151,0,0,1,0
30,2020/07/06,Radar2Ck35,41644184,0,0,0,8,251250,0,0,0,0
31,2020/07/06,Radar2xw57,220976248,0,0,0,11,221558,0,0,0,0
32,2020/07/06,Radar2Ar23,53354024,0,0,0,8,266000,0,0,1,0
33,2020/07/06,Radar2oX28,169590744,2344,0,0,8,210738,0,0,0,0
34,2020/07/06,Radar2Ud11,162799424,0,0,0,8,264124,0,0,0,0
35,2020/07/06,Radar2rr84,23179616,0,0,0,9,215206,0,0,0,0
36,2020/07/06,Radar2mP96,234581200,4960,0,0,14,89391,0,0,0,0
37,2020/07/06,Radar2NE79,30075944,0,0,0,8,235436,0,0,0,0
38,2020/07/06,Radar2xs81,9767384,0,0,0,8,237886,0,0,0,0
39,2020/07/06,Radar2SI68,32061568,0,100,0,19,352915,0,0,24,0
40,2020/07/06,Radar2jE32,43531392,0,0,0,11,237422,0,0,3,0
41,2020/07/06,Radar2VA11,133149248,0,0,0,16,354063,0,0,0,0
42,2020/07/06,Radar2Jh16,40138856,0,0,0,8,218161,0,0,0,0
43,2020/07/06,Radar2Dx28,196274896,0,0,0,9,235097,0,0,0,0
44,2020/07/06,Radar2No99,137277608,0,0,0,16,341771,0,0,0,0
45,2020/07/06,Radar2If33,229818032,0,0,0,11,216799,0,0,0,0
46,2020/07/06,Radar2QU53,141094616,0,0,0,14,274002,0,0,0,0
47,2020/07/06,Radar2PQ93,147094496,0,0,0,9,216715,0,0,0,0
48,2020/07/06,Radar2By53,173456328,0,0,0,11,218871,0,0,0,0
49,2020/07/06,Radar2Ku41,89759488,0,0,0,12,219148,0,0,0,0
50,2020/07/06,Radar2lD71,3576128,0,0,0,9,240828,0,0,0,0
51,2020/07/06,Radar2yV52,11770576,0,0,0,8,220860,0,0,1,0
52,2020/07/06,Radar2ih87,133542904,0,0,0,19,342641,0,0,0,0
53,2020/07/06,Radar2hM35,18696504,0,0,0,10,239664,0,0,2,0
54,2020/07/06,Radar2KS99,91594688,0,0,0,8,212492,0,0,0,0
55,2020/07/06,Radar2Ka64,67867664,0,0,0,8,210516,0,0,0,0
56,2020/07/06,Radar2CI27,52441408,0,0,0,9,238487,0,0,0,0
57,2020/07/06,Radar2Kx50,90202904,0,0,0,12,238895,0,0,0,0
58,2020/07/06,Radar2AU19,89223920,0,0,0,13,278367,0,0,0,0
59,2020/07/06,Radar2kQ98,181137552,0,0,0,11,239278,0,0,0,0
60,2020/07/06,Radar2MN15,80879864,0,0,0,9,240145,0,0,0,0
61,2020/07/06,Radar2Qz36,116496368,0,0,0,9,241566,0,0,0,0
62,2020/07/06,Radar2WL40,68574640,0,0,0,8,252377,0,0,0,0
63,2020/07/06,Radar3OF70,86221400,0,0,5,17,318989,0,0,0,0
64,2020/07/06,Radar3Gw14,232205520,0,0,2,3,264699,0,0,4,0
